post_id,comment_id,author,body,score,created_utc,ups,downs,result
1ocz9b1,nkqcrgk,LadyInTrouble48,"Back to court. Instant adherence to all conditions in the custody agreement to the letter. All communication through a court approved parenting app. No communication with any of his family during your custody time if not mandated by the court. Document all attempts at parental alienation, injuries, broken or missing items sent with the kid.   If they want to play dirty make mud!!!",289,1761111561.0,289,0,NTA
1ocz9b1,nkqhvai,Beautiful-Way-2259,"NTA but you do realise they've won this ""battle"". You shouldn't have backed out. Stop living your life to the tune of your ex in laws. Give them that battle but make sure you win the ""war"" by living your life how you want to.",142,1761114395.0,142,0,NTA
1ocz9b1,nkqd5ks,Lighthouse_on_Mars,"NTA,  Stop letting them into your life!  No working with them, and NO more not sticking to the Child Visitation agreement.   Plan everything on your time, and keep to the agreement. Stop trying to be nice. They are not nice, they are jerks that want to control you.",95,1761111773.0,95,0,NTA
1ocz9b1,nkr61y4,Appropriate_Storm1,"Jesus Christ. Grow a pair of balls and stop rolling over for these people.   First, time to get a formal custody agreement through the court and follow it. Period. No exceptions. Keep ALL communications strictly between you and your ex, and only use a parenting app approved through the courts. Block all other family memebers. Your son can see that side on his dads time.   Second, file a restraining order for harassment against your ex MIL. The builder even told you what she was doing is unethical. Why would you give in to the drama? Why would you let that cost YOUR SON A FOREVER HOME?!? Seriously?   Apologize to your son for being weak. Then call the builder, buy the home, and be the strong parent that does the right thing even when it’s hard. Your son is watching. What are you teaching him by letting them bully you and you backing down? Do better. For yourself and for him",80,1761128690.0,80,0,NTA
1ocz9b1,nkqc8yq,madmonne,"NTA. try and get that house back and call whoever it is you call about your decree or whatever being violated. If theyre going to go all in like that, you have to show that you're willing to do it too. Otherwise they'll walk all over you. My only concern here is your kid. And what they'll say about you to them. Whether they'll try and keep them from you again.   Best of luck and lawyers to you!",36,1761111283.0,36,0,NTA
1ocz9b1,nkqaq51,mentyBmama,"NTAH   I truly hate this for you, it’s so mentally &amp; emotionally draining. Misery loves company though unfortunately. I don’t think you should have backed out of your home though if you found one that you loved.",33,1761110469.0,33,0,NAH
1ocz9b1,nkqcp5s,getwitchy,NTA. I’m so sorry they stole this opportunity from you. Lawyer up and file an ethics complaint to your state’s licensing agency.,20,1761111526.0,20,0,NTA
1ocz9b1,nkqrwpb,perpetuallyxhausted,"Why would you back out of the home? If he's withholding you kid during your court mandated parenting time, go to the cops. Otherwise go back to your family law lawyer and do things that way. Either way don't ever let her get involved in the purchase of your home.",21,1761120351.0,21,0,NTA
1ocz9b1,nkqtyfh,hellomynameisrita,"They have been too much in your life,  in ways that you thought were just being cooperative, but it was never about cooperation.  it was about manipulation and being able to know all your business that they don't actually have a right to know.   Not that they will ever admit to this, they will only ever believe they were being helpful, and that YOU are the one who behaved badly and threw it in their faces.  You are in a dangerous spot now, the most dangerous time is when they think you are leaving them.  Despite the divorce being that far in the past, it is only know, when he knows you are in another relationship, that he actually FEELS that you are truly gone.  Check up on your home security, remind your family and coworkers and the parents of your Childs friends/adult leaders of activities,  that since you are divorced, they should not speak to him about you, your habits, your plans.  Reduce contact and interactions for dealing with the kid to only those described in the divorce decree. communicate with the app so everything is documented.  Consider changing. your phone number. Consider moving and having your child exchange in a public place rather than your doorstep or his.  Get a ring doorbell if not a more elaborate camera system.  Protect yourself.  NTA.",15,1761121621.0,15,0,NTA
1ocz9b1,nkr1gjj,Athingwithfeathers2,I came to support the advice given.   You need your lawyer to notify the court about the family harassing you and not following custody agreement.  You should send screen shots and any other supporting evidence to state real estate licensing board. Ask the builder if he'll write up a short statement of his experience with your MIL. What she did was illegal and unethical.  Consider going to small claims court to get reimbursed for expenses incurred for a vaction you had to forego thanks to the ex withholding your child.  They will stop messing with you if you make it too painful. I'd send them a copy of the divorce decree with a note telling them it's none of their business if you're dating or not. You're a free woman. It sounds like you unloaded hundreds of pounds of dead weight you were dragging around.,14,1761126179.0,14,0,NTA
1ocz9b1,nkqxclb,MaeSilver909,Follow your parenting plan to the tee going forward.  Speak with an attorney regarding  ex’s family harassing you.  You don’t owe your ex MIL anything as she didn’t you sign paperwork.  Purchase your home.,7,1761123708.0,7,0,YTA
1ocz9b1,nkrdlti,Allysgrandma,YTA for going back on your agreement with builder.  You realize now they are going to control your life right? Also your very excited son is probably disappointed.,7,1761132324.0,7,0,NTA
1ocz9b1,nkrg9oh,hadMcDofordinner,"NTA but you should not have given in to your ex's family, you should have kept the house.  But since you have and since they have made it clear that they do not wish you well, start using the decree to make your life easier and don't hesitate to collect proof of their use of manipulation, etc. when they refuse to let you live your life as you see fit.",5,1761133501.0,5,0,NTA
1ocz9b1,nkrduri,aquagurl84,"That’s disgusting. In making your life harder, they are robbing their son and grandchild. I hope they are proud of themselves.",2,1761132435.0,2,0,NTA
1ocz9b1,nkrf8de,dachsie-knitter-22,You need to communicate through a family app so all this abuse is documented.,2,1761133050.0,2,0,NTA
1ocz9b1,nks2p3e,Any_Cicada2210,"Divorce is hard and so hard to navigate, I feel for you.   I can’t say YTA here because you didn’t do anything explicitly wrong, but if you had ANY realtor show you a home/introduce you to a builder it is general courtesy to re involve them when you’re ready to move forward if you weren’t ready at that time.   You aren’t in the wrong, but I can also understand why MIL is upset with you.   Now that being said what they are doing to you, withholding your child isn’t right and I agree with others, you need to get legal agreements in place and they need to be followed if they are going to start game playing.",2,1761141483.0,2,0,NTA
1ocz9b1,nks4osf,pepperoni_za,Nta,2,1761142102.0,2,0,NTA
1ocz9b1,nkqdnjs,Polka_Polka_Polka_,Divorced? AGAIN?!,1,1761112042.0,1,0,NTA
1ocz9b1,nkr9srz,Madmattylock,YTA for letting them run roughshod over you. Lawyer up and get your kid back. Chile…..,1,1761130574.0,1,0,NTA
1ocz9b1,nkrft12,Public_String_8363,NTA.,1,1761133302.0,1,0,NTA
1ocz9b1,nkrhx39,OscarnBennyesmom,Talk to your attorney about getting the custody agreement to be enforced.  Beg the builder to reconsider letting you back in.  Also ask him for the email mil sent and then forward that to your states licensing agency for realtors.  She was being very unethical.,1,1761134178.0,1,0,NTA
1ocz9b1,nkrl80o,Mom2rats47,"NTA for not getting her involved.   However, “begging the builder to put her on” no ma’am!   Ex is withholding your child from you? No ma’am! If you have a custody plan on paper and he’s refusing to follow it- call your lawyer and the police.   Don’t let his family dictate your life! Find a better village to help when “something comes up”.",1,1761135487.0,1,0,NTA
1ocz9b1,nkrmmtf,Only-Breadfruit-6108,"You’re letting yourself feel bad. You’re letting them have an impact on you.   Okay, you missed out on a holiday because it wasn’t in line with your divorce custody arrangement. Now you know better, wont happen again.   Emotional turmoil? Seriously? You let them ruin your homeowner moment, no one else. You’re divorced. You’re single. You’re dating. It’s your life, you’re in the drivers seat, start acting like it.   I won’t call you an AH, but come on. Step up.   If you want the house, buy the house.",1,1761136025.0,1,0,NTA
1ocz9b1,nkrnyxq,ravenofmyheart,"Go back to court, get an established parenting agreement in place, communicate through a coparenting app only and he can maintain relationship between your child and his family on his time.",1,1761136537.0,1,0,NTA
1ocz9b1,nkrosnp,HellStar54115,"NTA but take his ass to court and get custody of your son, he has no right to hold him over your head for something that you are trying to do to have him in a permanent home.",1,1761136841.0,1,0,NTA
1ocz9b1,nks8eyw,Scenarioing,You caved to the pressure and let them win. They are now emboldened and know they can get you to knuckle under. It is all worse now as a result. You need the power of the court to start enforcing orders. It's time to file contempt motions and such.  ...and stop caving.,1,1761143225.0,1,0,NTA
1ocz9b1,nks9i3e,WhereWeretheAdults,"NTA. Obey the court agreement. They get absolutely zero say in how you live your life as long as you follow the court ordered agreement. MIL does not get to pump you for money. That is all this is about, she's greedy. So greedy she tried to get a businessman to commit fraud on her behalf.  As for the dating thing, your ex has no say over your personal life. That is what being an ex means - they lost all input into your decisions unless they specifically involve the child and that is covered by the court agreement.  They are all toxic and manipulative.",1,1761143548.0,1,0,NTA
1ocz9b1,nksab4h,Spiritual_Animal1,"NTA Your former MIL had no business sticking her nose into that sale.  I would have stuck with the house because they are going to do this to you over any home you purchase.  They don’t want you to be happy, they want you to always be miserable.    I would ignore what they say or take your ex back to court to raise the child support your ex pays.  Don’t keep giving them power over you.  From now on stick to the court approved agreement.  They want to give you grief, then you will make them follow the court agreement.  Also go back to court and establish your only contact with them will be through a co-parenting app.",1,1761143789.0,1,0,NTA
1ocz9b1,nksbatg,olderguy6432,Hell NO!!  SHE is overstepping her bounds and IF she was so bent on a commission she should have handled it as a contracted realtor and signed the contract back then.  Another issue you could raise is how she is treating you on the personal level and ask her how it would effect her position IF you filled a complaint for her attitude/treatment of you.  There is a reason you don't do business with family.,1,1761144084.0,1,0,NTA
1ocz9b1,nksdoei,purple-ghost-222,Updateme,1,1761144783.0,1,0,NTA
1ocz9b1,nkucvbh,Zero_Patience1771,"NTA    However, Grow a spine and stand up for yourself. You backed out of a legitimate deal and a wonderful opportunity because your ex MIL threw an illegal hissy fit...       Not to mention just listen to the decree from now on. Do vacations and such on your time and don't trust your miserable excuse for an ex husband on anything...",1,1761165274.0,1,0,NTA
1ocz9b1,nkuh2a6,istnichtmeinname,NTA.  I would also contact whomever licenses real estate agents and her brokerage to notify them of her unethical conduct.,1,1761166463.0,1,0,NTA
1ocz9b1,nkv0p57,Shot-Zombie-36,"Oh no, the moment you backed down was the moment they won. You will not be allowed to date in peace, do anything in peace. Your ex-MIL is not your friend, do not treat her as such, do not pander to her nonsense.  There is no peace to be kept with such people, all there is is manipulation.    Get back to court and get those rules with child care and custody sorted and battened down like a ship during a hurricane.   Start again, get your home and keep the ex family out of your personal life.",1,1761172793.0,1,0,NTA
1ocz9b1,nkvpv9p,Rocketeer57,"Holy cow.  Your ex-mother-in-law (whom, frankly, you shouldn't be having anything to do with) tried to steal 4% out of your pocket, harassed you endlessly about it, sabotaged your home deal, and you're feeling guilty?    You need to cut your ex and his family out of your life.  They're nothing but sources of chaos.",1,1761181759.0,1,0,NTA
1ocz9b1,nkvsgim,Anothercitykitty,"Hear me out. As a formerly physically and verbally abused spouse.  The best thing you can do is LIVE your life. The people who are not on the side of good and loving prosperous things for you and your child will only shrink when you cast your light.  They are manipulating you through the child. It took me years to figure out my child's dad only wanted to me make me miserable, not love the child. You have to not let on that it kills you if they exercise their parenting time. Don't ask or expect favors. Don't give them. By doing this you will create room for the people who will LOVE you and the child. They knew it would hurt you to not see your family. You should GO! Do not ever let them see you weak. Your child will know who truly loves you.  Go find another cute house. Do not tell your son until it closes with the bank to protect him from accidentally saying something. You've got this.",1,1761182699.0,1,0,NTA
