post_id,comment_id,author,body,score,created_utc,ups,downs,result
1odkxl5,nkus5et,fuckitwebowl,"I get where you're coming from, your brother sounds hella frustrating. But leave the parenting to the parents. You don't want to get in the middle of what sounds like a real shitshow.",47,1761169879.0,47,0,YTA
1odkxl5,nkuskmy,Impossible_Rain_4727,"YTA: Try and have more empathy.  He’s a kid caught between two fighting parents, bouncing between two homes with completely different rules and expectations. I don’t blame him for struggling to understand why the rules are different between them.  He’s not handling their co-parenting well, obviously. That doesn’t mean he deserves to be punished at Christmas. I honestly blame the parents far more for the situation.  Taking away Christmas gifts is only going to harm his relationship with his mother further. He has only just started coming around again. The focus should be on rebuilding his relationship with her.  Honestly, it is also 100% not your place to judge whether he’s 'earned' christmas gifts. This whole situation is something your mum should handle, not you.",43,1761170017.0,43,0,YTA
1odkxl5,nkusemj,Flat-Replacement4828,YTA. This situation has nothing to do with you. Mind your own business.,27,1761169962.0,27,0,YTA
1odkxl5,nkustqi,Hi_hello_hi_howdy,"How old are you? It sounds like there are a lot of moving pieces here. I’m sorry that your mom is using you as a coparent for your younger siblings.  It’s hard to feel responsible for their wellbeing on a regular basis, and also feel like you don’t get any say in their rules or consequences.   In my opinion, Christmas isn’t a good time for punishments.    I would tell your mom she’s asking too much of you, and move out if you’re over 18, but I’m guessing based on the story that your mom has some mental health issues of her own she’s dealing with. Sorry you are in a tough situation",16,1761170099.0,16,0,NAH
1odkxl5,nkuza65,K_A_irony,Stop trying to be the parent.  If she fails and he becomes a leech that also won't be your issue.   Now it is fair to tell her that you are not happy with the unequal treatment.   It isn't fair that he gets to do X and you don't.   Ask her why she is OK with that and then listen.  It would also be fair to point out she is enabling him to be an entitled brat and that won't help him be independent and a functioning member of society and that after you are 18 you get the choice of whether you associate with him or not and that you won't pick up ANY of the slack or costs for her as a result of him.,14,1761172295.0,14,0,NAH
1odkxl5,nkut8p3,paul_rudds_drag_race,"He acts like a big-time brat but he also has another parent who seems to be pulling some strings. With that, excluding him from receiving gifts is going to make him want to stay away even more, which hurts your mother. Of course this doesn’t mean she should go all out to bribe him because he’ll learn that acting out results in rewards. It’s ultimately her decision. I understand your frustration though.",8,1761170234.0,8,0,YTA
1odkxl5,nkuw32h,BigBackeron,"Yes, YTA. You're not the parent here. Telling your mom to not give her son gifts for Christmas would be AH behavior. Stereotypical older child.   But let me add: do you really think your brother was entirely to blame for this? He's 11. You should be able to connect the dots and realize that your father likely influenced him or wouldn't let him go home. The way this post is worded makes it seem like you're putting the full blame on your brother, which is... very closed-minded.",7,1761171192.0,7,0,YTA
1odkxl5,nkuza84,keesouth,YTA 1. This isn't your place. It's up to your mom to decide how to parent your brother. 2. You aren't thinking like a parent. You are thinking like another kid in the house and you don't have the same judgment your mom has. 3. Even though you are in the same house as your brother you are not living the same experience due to age and other factors. You have no idea how he truly feels. 4. Your opinion also seems to be tainted about how you feel about his father and stepmother.   Long story short just do what you're supposed to do and let your mom handle your brother.,7,1761172295.0,7,0,YTA
1odkxl5,nkv68r5,Limp-Paint-7244,"Leave the gifts out of it. But I do think you should say something like ""Mom, I know you want brother to keep coming back here. But it is really messed up that he keeps breaking rules and doing whatever the heck he wants. He should respect you more. You are a wonderful mom."" Hug and walk away.",3,1761174761.0,3,0,YTA
1odkxl5,nkw3s9c,Legal-Run-4034,"YTA. This reads a lot more like you want to hurt your brother rather than help your mother or even help your brother to become a better person and follow the rules. You have to keep in mind that your mother is trying to teach you rules and responsibilities and turn you into functional adults (hopefully). And she WANTS to do the same for your brother (again, hopefully), but your brother's father is spewing poison into his ear and letting him do whatever in an attempt to hurt your mother and she has to bend a bit just to make sure she doesn't lose him completely from what I've read here. Forcing extreme punishments like nothing for Christmas is only going to drive your brother to his father and away from your mother.",3,1761186855.0,3,0,YTA
